cursor_motion dense_cells light_cells medium_cells scrolling scrolling_bottom_region scrolling_bottom_small_region scrolling_fullscreen scrolling_top_region scrolling_top_small_region sync_medium_cells unicode 
_ _ 17 28 _ _ _ 24 _ _ 30 17 
_ _ 18 27 _ _ _ 25 _ _ 31 17 
_ _ 19 27 _ _ _ 25 _ _ 37 15 
_ _ 21 27 _ _ _ 24 _ _ 51 16 
_ _ 24 27 _ _ _ 23 _ _ 39 17 
_ _ 22 28 _ _ _ 24 _ _ 34 16 
_ _ 17 28 _ _ _ 24 _ _ 29 16 
_ _ 23 29 _ _ _ 24 _ _ 31 16 
_ _ 20 28 _ _ _ 25 _ _ _ 16 
_ _ 21 27 _ _ _ 24 _ _ _ 18 
_ _ 23 28 _ _ _ 24 _ _ _ 16 
_ _ 21 28 _ _ _ 24 _ _ _ 16 
_ _ 21 28 _ _ _ 27 _ _ _ 17 
_ _ 21 28 _ _ _ 26 _ _ _ 17 
_ _ 21 28 _ _ _ 25 _ _ _ 16 
_ _ 20 28 _ _ _ 25 _ _ _ 17 
_ _ 20 29 _ _ _ 25 _ _ _ 17 
_ _ 20 28 _ _ _ 24 _ _ _ 17 
_ _ 20 28 _ _ _ 24 _ _ _ 17 
_ _ 21 28 _ _ _ 26 _ _ _ 19 
_ _ 21 30 _ _ _ 25 _ _ _ 17 
_ _ 20 28 _ _ _ 25 _ _ _ 17 
_ _ 21 28 _ _ _ 25 _ _ _ 17 
_ _ 20 28 _ _ _ 26 _ _ _ 18 
_ _ 20 28 _ _ _ 25 _ _ _ 18 
_ _ 20 27 _ _ _ 25 _ _ _ 19 
_ _ 43 28 _ _ _ 29 _ _ _ 18 
_ _ 24 29 _ _ _ 24 _ _ _ 21 
_ _ 28 28 _ _ _ 25 _ _ _ 23 
_ _ 26 28 _ _ _ 25 _ _ _ 18 
_ _ 28 29 _ _ _ 24 _ _ _ 16 
_ _ 24 28 _ _ _ 25 _ _ _ 17 
_ _ 21 28 _ _ _ 24 _ _ _ 17 
_ _ 17 29 _ _ _ 24 _ _ _ 19 
_ _ 18 28 _ _ _ 24 _ _ _ 22 
_ _ 18 29 _ _ _ 24 _ _ _ 21 
_ _ 18 28 _ _ _ 24 _ _ _ 21 
_ _ 19 27 _ _ _ 25 _ _ _ 22 
